The Brewers of Europe Plaque,50.838525,4.369979
Ma Campagne,50.822836,4.353919
Église De L'enfant Jésus ,50.81862,4.350913
Le Vent - De Wind,50.849055,4.457288
Le Jardin Des Plantes ,50.849534,4.455627
L'Été - De Zomer,50.849954,4.456104
Time is Money,50.849851,4.456937
Pi Statue,50.850119,4.456548
Le Mur,50.849583,4.457878
Metro Station Kraainem,50.848735,4.458756
Serre Du Jardin Des Plantes Médicinales,50.849557,4.457268
Le Byzantin - De Byzentijn,50.850017,4.457374
À Mon Père - Aan Mijn Vader,50.84958,4.456425
Parcours Santé,50.848983,4.458005
Autoportrait - Zelfportret,50.850158,4.456065
Océanie - Oceanide,50.850072,4.456983
Pittacus,50.835757,4.351392
Clown Power,50.835362,4.35119
Auditoire Simonart,50.85078,4.45508
La Woluwe- Sport Center ,50.850356,4.458419
Mur d'escalade,50.850242,4.458889
Le Mur (Avec Le Lierre Qui Pousse),50.850398,4.456268
Faille de Schiste,50.850538,4.455444
Les Femmes En Blanc ,50.849681,4.452481
Metro Station Alma ,50.849571,4.453491
Green Face Mural,50.850035,4.452966
Domeinbos Zonienwoud Tervuren,50.82458,4.537845
Pont Entre Deux Rives,50.851279,4.451496
Toboggan Martin V,50.850238,4.452483
Street Art Le Courant D'air,50.850303,4.453647
Parcours Santé,50.8505,4.454759
Église Saint-Pierre,50.803457,4.339512
Les Lions Allés ,50.836111,4.352232
Skarabeus,50.827827,4.381967
Les Cercles De Pierre,50.819554,4.399209
Etterbeek - Memorial Louis Schmidt,50.828213,4.400266
Statue Anne Pascale,50.816895,4.426748
Liberty Statue,50.821187,4.386165
V. U. B. Acces 6,50.823328,4.398921
Terrain De Pétanque,50.823705,4.402741
Visages De Métal,50.823438,4.402464
Tram Museum,50.83126,4.433489
Haus mit Erker,50.835758,4.393447
Brittish Junior Academy Of Brussels,50.833425,4.405249
Tram Boileau,50.834053,4.405282
Louis Henry,50.827543,4.37675
Old Casern,50.827525,4.38161
L'heure Du Sud,50.835827,4.371305
Rg ,50.841774,4.46436
Cinéma Le Stockel,50.84104,4.465618
Metro Josephine Charlotte,50.840154,4.413089
Metro Montgomery Fresco,50.83747,4.407338
Brussels Montgomery,50.837706,4.406349
Cadre Vide A Notre Future Gloire,50.83627,4.405506
Montgomery,50.837322,4.406751
100ème Anniversaire Obelisk,50.837908,4.407084
Wrought Iron Fence,50.839575,4.397176
Femme Fontaine,50.839052,4.398402
Fontaine Dalton,50.837196,4.395649
Lion De Garde,50.839189,4.398129
Ambassade du Guatemala,50.811194,4.362689
Ireland,50.8392,4.382089
Colored Windows ,50.840434,4.381729
Embassy Of Iceland,50.842774,4.384194
House Of Eurpean History,50.839835,4.378734
Albert Borschette,50.83799,4.381641
Giant Frits of Legs,50.837043,4.381594
Schuman Railway Station,50.842575,4.378596
Maison Communale D'etterbeek ,50.836338,4.38686
Ornements Belliard,50.839874,4.381655
Twin Triangle Pillars,50.840552,4.373482
Golden House 1892,50.825037,4.354322
Darkd Pencil Art,50.822529,4.354502
La Ville,50.830006,4.355866
Post and Telegraph,50.832444,4.356698
Armand Massonet,50.830788,4.354291
Sint-Bernarduskerk,50.830747,4.354008
L'Ultime Atome,50.835966,4.36442
Metro Roodebeek,50.847797,4.436039
EuropeAid Building,50.844741,4.371933
Split in Half,50.835938,4.338461
Maison de Hubert Krains,50.850291,4.393647
Pavé de la Memoire,50.851246,4.395604
Red Horse,50.797867,4.332278
Chapelle de Stalle,50.798449,4.333083
Église Évangélique D'Uccle,50.799698,4.336363
Charrue Du Tram,50.820237,4.341391
Lion Heads,50.820551,4.341901
Statue de Armand Bernier Saint-Gilles,50.818613,4.334808
Fontaine Du Bar Du Matin ,50.821647,4.342474
1903 Mosaic ,50.819393,4.34139
100 Aire Section Croix-Rouge de Forest,50.819366,4.336319
Brugmann Bastion ,50.817466,4.350497
Smiling Sculpture,50.815075,4.348711
Station Horta,50.826501,4.3464
Albert Ier,50.826407,4.342521
Singe de Bonom,50.82777,4.344062
Le Baiser ,50.828232,4.34427
De Pianofabriek,50.828732,4.34261
Madame Bieztry Art,50.828459,4.344389
Fountain,50.849197,4.431255
Fontaine Leopold III,50.85761,4.397635
Zonnewijzer,50.857562,4.351069
Uccle Stalle,50.8023,4.323989
Statue Of Jaques Brel,50.802825,4.323278
Ancienne Gare Abandonnée ,50.801848,4.324592
Kiosque Jacques Brel,50.803181,4.323061
Martin Gray,50.80252,4.324295
Brasserie De L'union,50.830701,4.34613
Pixel Art Yellow,50.830207,4.344381
Flowers,50.833048,4.350202
La Maison Du Peuple,50.830478,4.345547
Homme Soutenant La Justice ,50.833387,4.347974
Horta Parme,50.830958,4.35355
Drapier De Londres,50.832558,4.349296
Julien Dillens,50.83201,4.349635
Fountain At Porte De Hal,50.833988,4.342695
Colombe ,50.832506,4.350351
Églises De Scientologie Pour L'Europe,50.833946,4.349972
Hunter-gatherer Graffiti and a children's mural,50.831824,4.345971
Vestiges Hôtel des Monnaies,50.829583,4.346963
Le Kuulkapper,50.830325,4.34496
La Porte de Hal - Hallepoort,50.832661,4.344859
Yakari Jobs,50.829123,4.342939
Quiétude,50.829813,4.346946
Centre Cultural Jacques Franck,50.829392,4.344517
Yawning Lion,50.83121,4.348444
Boite A livres,50.829698,4.344138
La Maison Du Livre,50.829711,4.345731
Église Saint-Gilles,50.830496,4.344232
Église Scheut-broeck,50.844571,4.315182
Ornement D Amour...,50.844712,4.356644
Fort,50.851467,4.368714
Les Joies du Printemps,50.850158,4.393983
Petit Ovoide,50.844669,4.389346
Indoor Tennis Court,50.850736,4.458826
Van Helmont Commemorative Plate,50.851153,4.455787
Paul Ehrlich,50.851284,4.455333
sculpture Moderne,50.851697,4.459938
Vierge De Bois,50.851034,4.456822
Église de l'Assomption,50.847969,4.450796
Boucle D'or,50.848447,4.45064
Stèle Memoriale Guerre,50.847474,4.450072
Sainte Marie,50.847581,4.451153
Physical Center Fitness - Sculpture,50.847905,4.451829
Me and my pal,50.847915,4.450391
Fitness Park,50.84876,4.451544
Cochons Colorés ,50.846145,4.384023
Sgraphit Lady,50.84873,4.3772
Ambassade De Chine,50.854364,4.443989
Building Microchip Architecture ,50.855515,4.444736
Louis Pasteur Commémorative Plate ,50.851596,4.453664
André Vesale Commemorative Plate ,50.851515,4.453957
Wooden Fort ,50.853208,4.450855
Sculpture,50.85478,4.444475
Murale Estudiantine,50.850626,4.453132
William Harvey : Scientist Commemorative Plate ,50.852222,4.453891
Plaque commémorative Claude Bernard,50.852032,4.453673
Madone Félix De Louvain,50.852507,4.451919
L'oiseau Bleu,50.851201,4.454554
René Laennec Commemorative Plate ,50.852401,4.45413
Bibliothèque Centre Faculté,50.851285,4.454549
L'aigle ,50.852129,4.451851
Dessin Christophe Bourdenix '93,50.850809,4.454068
Fontaine,50.852955,4.448261
Façade Géométrique,50.851425,4.449612
Alma court 6,50.855314,4.449098
